pf_n;pf_p;s_n;s_p;m_n;m_p
0.0769;0.0152;-670;281;52.3;88.7
0.0666;0.103;-665;689;19.3;71.8
0.293;0.348;-793;805;6.05;5.17
0.189;0.12;-741;735;13.9;17.9
0.229;0.378;-758;711;13.9;5.52
0.11;0.132;-281;306;36.7;64.9
0.0146;0.108;-794;747;250;219
0.338;0.272;-620;606;55.7;6.17
0.679;0.122;-382;634;0.613;29
0.877;0.0918;-424;756;0.579;44.7
0.308;0.0431;-549;765;2.81;27.5
0.563;0.373;-585;655;42.3;503
0.32;0.208;-531;587;22.2;4.81
0.691;0.299;-584;666;3.53;5.24
0.0506;0.193;-650;649;30.7;46
0.226;0.0535;-649;733;92;35.5
0.0485;0.138;-685;644;40.6;27.7
0.0224;0.0271;-660;725;60.6;79.7
0.252;0.0935;-608;672;4.19;12
1.44;0.679;-527;556;0.613;1.6
1.57;1.21;-508;526;0.581;0.636
0.41;0.147;-782;827;4.5;70.7
0.874;0.131;-518;718;19.1;24
0.468;0.103;-625;690;22.2;12.8
0.579;0.146;-544;783;1.49;8.07
0.671;0.556;-606;621;2.76;3.67
1.26;0.823;-545;630;0.705;1.05
0.0923;0.0691;-788;806;20.3;33.9
0.789;0.0458;-451;740;0.732;25
0.465;0.215;-618;663;3.18;8.23
0.225;0.32;-706;675;11;42.1
0.58;0.143;-532;682;2.07;26.2
0.606;0.105;-645;752;2.03;16.2
0.64;0.184;-573;709;2.51;9.76
0.494;0.132;-580;695;2.15;8.16
0.451;0.45;-664;632;7.36;5.14
0.214;0.394;-756;679;12.2;8.17
0.142;0.0201;-698;768;11.9;95.2
0.375;0.336;-697;656;6.41;7.05
0.278;0.168;-650;688;9.55;10.4
0.427;0.333;-646;678;3.86;6.56
0.812;0.114;-430;755;0.669;4.98
0.822;0.121;-427;759;0.651;4.49
0.915;0.135;-389;671;0.478;5.96
0.401;0.222;-646;698;4.51;5.97
0.395;0.793;-683;562;3.57;2.12
0.305;0.381;-646;628;10.8;4.35
0.197;0.00132;-667;614;40.7;1380
0.624;0.0461;-505;882;1.15;15.6
0.475;1.2;-719;519;3.44;1.41
0.137;0.245;-727;672;12.1;7.32
0.677;0.124;-491;731;1.04;5.5
0.499;0.374;-553;626;2.15;5.26
0.552;0.166;-586;720;2.9;10.6
0.548;0.365;-680;711;5.68;15.5
0.96;0.184;-544;665;3.93;9.67
0.855;0.769;-536;544;1.01;1.05
0.846;0.0667;-463;803;1.01;11.2
0.71;0.149;-451;700;0.821;9.15
0.358;0.383;-737;728;4.94;12.2
0.815;0.189;-422;677;0.621;6.76
0.513;0.392;-702;714;3.35;3.58
0.858;0.382;-479;727;1.15;2.07
0.248;0.156;-669;779;5.6;25.6
1.7;0.606;-557;593;0.705;2.25
0.732;0.208;-510;678;1.64;5.35
0.986;0.173;-406;721;0.48;3.57
0.241;0.2;-684;738;7.08;11.8
0.417;0.357;-665;638;23.3;4.78
0.79;0.159;-457;626;0.805;27.8
0.858;0.147;-422;776;0.583;3.41
0.863;0.36;-626;712;1.32;3.48
0.636;0.338;-527;690;1.45;2.8
0.771;0.814;-553;543;1.26;1.18
0.903;0.478;-574;653;1.88;23.3
0.2;0.346;-713;648;7.18;7.27
0.645;0.637;-610;600;3.1;3.53
0.276;0.09;-735;744;12.6;25.3
0.539;0.215;-615;704;2.37;7.61
0.544;0.0786;-692;739;3.5;18.1
0.642;0.403;-604;662;4.06;5.26
0.341;0.144;-637;689;14.8;16.2
0.718;0.392;-482;618;1.02;2.42
0.845;0.0141;-431;760;0.625;57.6
0.857;0.105;-431;736;0.663;18.4
0.886;0.0225;-423;785;0.61;129
0.614;0.0653;-527;728;4.35;23.4
0.537;0.713;-615;602;3.61;2.27
0.349;0.141;-704;745;8.61;11.9
0.873;0.382;-556;640;1.94;4.03
0.795;0.00579;-459;804;0.892;129
0.532;0.0327;-530;710;105;148
0.755;0.0063;-473;804;0.98;145
0.765;0.0267;-465;826;0.899;41.3
0.738;1.1;-665;591;2.9;1.41
0.794;0.198;-598;705;1.72;6.28
0.507;0.308;-678;711;3.88;7.67
0.949;0.202;-548;675;1.17;4.5
0.684;0.333;-644;671;1.79;5.4
0.964;0.275;-527;716;1.12;3.9
1.55;0.202;-598;801;0.681;16.3
0.905;0.0843;-409;704;0.571;11
1.23;0.593;-583;617;2.32;2.71
0.215;0.195;-714;669;10700;265
0.0631;0.506;-759;609;39.4;4.09
0.0345;0.118;-778;759;64.9;17
0.119;0.805;-769;609;14.4;3.5
0.00147;0.485;-736;620;1060;13.4
0.211;0.585;-792;695;27.1;3.74
0.418;0.242;-513;657;2.34;3.07
0.256;0.282;-776;720;10.6;13
0.451;0.483;-687;632;82.2;4.46
0.284;0.751;-760;723;5.75;31.4
1.09;0.478;-584;724;0.92;2.11
0.889;0.122;-399;748;0.505;41.2
0.19;0.0405;-678;766;71.3;121
0.0113;0.25;-825;679;430;9.78
0.097;0.061;-658;721;42;24.6
0.155;0.0869;-635;680;124;31.7
0.38;0.208;-687;706;8.63;8.08
0.69;0.678;-666;713;80.9;18.9
0.26;0.339;-751;717;58.4;20.5
0.72;0.0245;-408;734;0.65;72.6
0.582;0.0117;-370;798;0.68;190
0.63;0.00462;-367;712;0.624;247
0.0682;0.0175;-640;733;26.7;82.7
0.465;0.177;-571;748;2.02;7.1
0.217;0.174;-789;759;31.1;12.1
0.453;0.324;-657;694;8.83;4.06
0.466;0.238;-694;782;3;8.42
0.175;0.0363;-745;757;277;85.2
0.44;0.123;-663;714;482;22.8
0.683;0.21;-474;615;1.06;3.27
0.131;0.0746;-649;654;12.5;132
0.627;0.105;-531;741;2.33;35.9
0.296;0.11;-708;708;36.5;573
0.107;0.0729;-732;747;49.9;32
0.369;0.109;-663;731;13.9;19.3
0.361;0.597;-683;672;57.3;5.3
0.51;0.189;-747;738;154;33.8
0.179;0.146;-676;640;8.64;17.9
0.567;0.0306;-543;717;4.97;35.6
0.125;0.0867;-786;792;17.1;967
0.19;0.104;-688;701;7.93;13.4
0.559;0.125;-413;655;0.864;247
0.198;0.0275;-770;825;8.45;60.8
0.609;0.0524;-380;786;0.667;75.2
0.134;0.0597;-722;761;326;67.8
0.0712;0.0299;-811;835;69.6;62.1
0.117;0.158;-860;827;18.8;14.4
0.0998;0.24;-855;816;22.1;48
0.321;0.597;-657;599;5.11;3.12
0.368;0.696;-724;611;7.38;4.49
0.0255;0.0453;-814;792;89.8;145
0.000566;0.0348;-769;774;5460;762
0.00187;0.001;-686;679;2210;2250
0.38;0.105;-655;748;47.5;59.2
0.601;0.265;-497;675;1.18;48.8
0.38;0.459;-693;642;4.3;190
0.0707;0.177;-730;694;40.5;211
0.233;0.182;-680;693;12.1;39.5
0.292;0.121;-646;760;4.06;115
0.16;0.31;-757;722;11.1;5.87
0.281;0.203;-595;724;4.68;6.55
0.177;0.027;-663;801;14.7;59.9
0.204;0.0526;-621;712;61.5;21.8
0.362;0.781;-727;602;8.09;4.25
0.774;0.193;-449;624;0.735;4.31
0.769;0.128;-508;736;0.982;19.6
0.128;0.302;-712;737;12.8;12.4
0.928;0.204;-560;692;16.9;9.74
0.545;0.0602;-477;859;1.19;13.9
0.559;0.083;-529;859;1.67;18.2
0.436;0.414;-710;711;3.51;3.51
0.921;0.234;-400;740;0.5;7.79
1.56;0.854;-528;579;0.508;1.57
1.64;1.09;-522;549;0.474;1.25
0.842;0.154;-417;642;0.59;4.53
0.895;0.0388;-399;762;0.501;20.2
0.862;0.117;-416;702;0.568;18700
0.279;0.0432;-651;695;6.27;40.5
0.945;0.02;-411;811;0.507;33.8
0.935;0.0148;-424;759;0.544;42.9
0.875;0.042;-414;726;0.551;13.2
0.869;0.0899;-410;760;0.546;6.32
0.0797;0.116;-749;693;24.2;16.4
0.876;0.0846;-401;711;0.519;9.69
0.844;0.0534;-404;791;0.547;32.5
0.847;0.0537;-404;729;0.547;27
0.524;0.115;-685;723;6.95;17.3
0.269;0.205;-729;753;9.92;11.9
1.07;0.251;-306;621;0.246;1.05
0.984;0.032;-385;779;0.427;19.8
0.876;0.134;-413;713;0.551;65.7
0.509;0.523;-668;795;159;20
1.37;1.16;-695;573;1.2;1.18
1.15;0.591;-460;627;0.52;3.04
0.82;0.224;-439;652;0.678;3.22
0.901;0.475;-479;591;0.742;4.22
0.916;0.185;-395;678;0.483;236
0.576;0.447;-634;627;2.6;3.93
0.901;0.204;-413;607;0.534;2.36
0.652;0.111;-491;681;1.06;11
0.983;0.209;-408;654;0.48;271
0.589;0.453;-541;578;1.6;2.16
0.842;0.0522;-444;730;0.664;21.6
0.937;0.0428;-365;767;0.401;16.1
0.712;0.115;-455;787;0.821;7.23
0.0139;0.39;-752;782;115;4.32
0.946;0.13;-382;710;0.44;3.67
1.16;0.292;-321;589;0.295;1.01
0.989;0.233;-517;694;2.33;3.43
1.64;0.877;-527;519;0.513;1.74
1.75;1.03;-545;565;0.513;1.44
1.96;1.2;-467;491;0.626;0.655
0.961;0.298;-380;586;0.432;9.76
0.964;0.121;-380;692;0.428;5.02
0.456;0.466;-578;683;2.13;35.5
0.416;0.561;-703;613;3.91;2.86
0.871;0.0567;-411;728;0.548;13.6
0.894;0.146;-392;679;0.484;4.24
1.07;1.02;-523;552;6.01;79.5
1.2;0.2;-457;754;1.88;3.72
0.834;0.397;-503;745;1.31;1.81
1.35;0.788;-536;524;0.811;1.12
1.34;1.37;-577;583;0.829;4.71
0.879;0.154;-491;722;1.2;14.4
0.539;0.187;-512;659;1.38;4.12
0.448;0.0639;-638;856;2.66;18
1.1;0.0552;-325;756;0.272;403
1.09;0.161;-317;703;0.261;8.02
1.05;0.0837;-315;636;0.273;9.82
0.946;0.0965;-389;763;0.454;4.68
0.688;0.226;-565;747;2.35;5.17
0.692;0.296;-615;694;3.28;4.3
0.898;0.0976;-412;714;0.535;10.4
1.03;0.0649;-383;722;0.401;7.87
0.924;0.062;-380;672;0.44;1520
0.713;0.169;-504;651;1.28;4.66
0.923;0.129;-406;682;0.505;10
0.966;0.168;-377;688;0.421;3.53
0.927;0.0266;-400;809;0.502;24.5
0.928;0.0413;-391;821;0.474;16.5
1.06;0.23;-537;746;20.2;13
0.976;0.138;-358;634;0.371;3.27
1.43;0.203;-614;874;0.743;5.23
1.43;0.111;-603;928;0.718;9.25
0.221;0.102;-802;865;11.5;23.6
1.07;0.171;-329;702;0.283;3.34
0.958;0.0167;-381;824;0.427;25
0.953;0.0337;-401;849;0.476;21.9
0.984;0.299;-371;616;0.395;1.48
0.982;0.151;-372;751;0.397;138
0.855;0.0836;-382;696;61.7;717000
1;0.0964;-364;748;0.375;4.67
0.993;0.0841;-371;858;0.391;4.62
0.943;0.146;-367;621;0.403;3.41
0.999;0.154;-381;615;0.41;3
1.04;0.106;-341;805;0.315;62.8
1.07;0.137;-337;628;0.299;3
0.0861;0.0991;-683;740;28.1;17
0.158;0.144;-700;757;11;11.3
0.264;0.334;-747;779;8.22;4.72
0.615;0.249;-606;812;5.8;4.4
0.959;0.0146;-379;805;0.423;30.2
0.947;0.0478;-400;825;0.477;21.6
0.982;0.128;-374;743;0.403;17.2
0.981;0.141;-385;677;0.427;269
0.99;0.0316;-369;710;0.389;97.6
1;0.0379;-374;800;0.392;10.4
0.878;0.024;-410;756;0.541;25.4
0.803;0.0108;-434;867;0.665;56.6
1.08;0.104;-361;705;0.351;19
0.179;0.267;-790;682;9.82;6.58
0.0586;0.162;-748;649;27.3;292
1.12;0.043;-270;786;0.183;4.78
1.38;0.357;-415;674;0.352;1.36
1.52;0.456;-451;633;0.376;1.26
0.945;0.0154;-414;807;0.511;124
0.959;0.0196;-416;814;0.511;127
0.742;0.0432;-459;736;0.956;21700
1.06;0.345;-636;784;1.09;3.32
0.917;0.0923;-378;677;0.438;7.74
0.965;0.101;-409;757;0.49;621
1.01;0.277;-649;821;1.21;4.29
0.867;0.147;-536;705;1.03;8.96
0.944;0.0613;-383;780;0.44;6.77
0.214;0.414;-769;663;11.3;4.41
0.0656;0.134;-746;687;81.4;66.7
0.623;0.0342;-461;787;8.83;34600
0.679;7.29E-05;-470;674;0.968;79600
0.523;0.251;-555;741;1.73;4.87
0.58;0.215;-532;743;1.45;4.16
0.665;0.191;-548;618;10.8;19.9
0.894;0.136;-395;652;0.499;235
0.988;0.0767;-402;720;0.464;9.66
0.986;0.12;-384;602;0.425;169000
0.235;0.199;-607;606;9.32;172
0.72;0.0336;-489;743;1.16;40.6
0.884;0.0241;-425;760;0.577;33.5
0.985;0.0693;-370;743;0.391;5.91
0.911;0.0603;-380;760;0.493;27200
1;0.196;-364;688;0.373;8.42
0.898;0.153;-343;536;0.372;704000
0.994;0.103;-366;817;0.379;3.66
0.105;0.00935;-659;819;15.3;212
0.301;0.17;-652;711;5.06;81.3
0.00963;0.00882;-726;756;1180;291
0.869;0.0333;-416;739;0.562;105
1.86;2.93;-567;386;1.18;0.526
0.856;0.0234;-420;737;0.582;186
1.44;0.773;-503;585;0.499;1.1
0.843;0.0791;-398;691;0.531;8.44
0.413;0.501;-601;566;289000;628000
0.0965;0.129;-757;758;17.4;63.2
0.939;0.0752;-387;832;0.453;21.4
0.96;0.211;-383;648;0.45;37
0.729;0.0266;-459;756;0.816;62.1
1.09;0.225;-314;599;0.254;2.38
0.839;0.0122;-435;752;0.643;57.9
0.0447;0.0146;-780;839;38.3;118
0.0746;0.0457;-786;750;30.3;107
0.706;0.0074;-472;754;0.891;97.2
1.96;1.84;-507;486;0.494;0.841
1.09;1.07;-562;559;1.64;12.3
1.49;0.53;-505;754;0.484;2.7
0.79;0.931;-474;499;0.803;3.28
0.386;0.309;-712;713;12.2;47.1
0.97;0.065;-376;795;0.413;10.2
1;0.182;-358;578;0.361;2.27
0.25;0.168;-724;741;10.7;26
0.937;0.0333;-433;782;0.57;44.6
0.834;0.0787;-429;708;0.627;10.7
0.435;0.104;-665;788;6.44;13.3
0.88;0.123;-418;663;0.561;5080
0.725;0.118;-466;662;0.852;9.42
0.896;0.02;-416;754;0.546;27.9
1.67;0.452;-596;688;3.04;16.2
1.08;0.071;-314;830;0.258;3.92
0.343;0.371;-749;718;10.2;4.85
1;0.108;-345;715;0.335;6.34
1.02;0.244;-356;613;0.35;3.68
0.599;0.473;-820;768;3.17;4.01
0.668;0.109;-551;716;2.47;7.87
0.728;0.0386;-472;728;0.882;114
1.27;1.28;-466;421;0.607;0.623
0.877;0.0252;-404;811;0.525;33.7
1.52;1.13;-658;622;39.8;430
0.866;1.1;-619;634;1.25;0.978
0.707;0.053;-471;860;0.891;11.8
0.245;0.4;-800;776;8.21;4.56
1.07;0.19;-320;717;0.269;1.52
0.203;0.172;-723;774;15.9;10.6
0.732;0.217;-606;670;1.78;5.53
0.91;0.188;-405;722;0.519;4.04
0.576;0.525;-549;599;1.66;3.19
0.771;0.438;-638;667;1.86;2.95
0.9;0.187;-409;661;0.56;4.96
0.265;0.0524;-692;821;8.29;33.9
0.89;0.0278;-425;763;0.571;51.4
0.685;0.62;-673;586;2.57;2.13
0.545;0.204;-708;825;2.79;118
0.699;1.1;-542;482;1.48;1.15
0.251;0.34;-682;725;8.58;4.98
0.293;1.78;-634;461;12;0.822
0.677;0.0436;-519;822;1.18;27
0.165;0.977;-773;674;14.7;11.8
0.0769;0.347;-735;638;83.6;7.02
0.964;0.0493;-378;762;0.419;9.04
0.625;0.0598;-395;810;0.862;8.25
0.156;0.0564;-615;639;26.3;122
0.387;0.00552;-507;735;1.93;473
0.241;0.518;-729;625;15.7;13.8
0.714;0.133;-329;668;0.435;14.6
0.7;0.132;-345;686;0.503;22.4
0.501;0.369;-563;589;2.07;3.59
0.577;0.0502;-467;719;1.56;15.8
0.438;0.344;-568;617;2.26;19.2
0.268;0.289;-740;699;5.77;5.35
0.0298;0.333;-690;633;147;72.6
0.0831;0.123;-674;658;25.1;16.7
0.74;0.128;-494;833;0.941;46.2
0.394;0.286;-640;632;3.41;5.08
0.576;0.0766;-517;768;1.31;9.98
0.496;0.422;-577;553;4.71;3.31
0.0336;0.0117;-749;771;51.4;441
0.358;0.286;-647;763;3.45;4.38
0.243;0.51;-698;637;11.9;4.99
0.299;0.0907;-491;629;352000;344000
0.188;0.169;-732;699;8.71;14.7
0.148;0.0515;-646;663;27.3;105
0.133;0.0479;-640;671;30.6;79.2
0.135;0.0647;-677;652;45;73.9
0.705;0.0547;-323;688;0.426;6.26
0.29;0.583;-663;553;4.86;3.67
0.0296;0.000396;-722;779;55;4460
0.197;0.195;-675;725;8.66;7.05
0.0229;0.00144;-720;814;120;2180
0.184;0.264;-597;643;5.66;11.4
0.519;0.424;-596;693;2.29;2.61
0.116;0.00826;-680;711;23.7;232
0.0758;0.00356;-768;845;21.9;467
0.557;0.0875;-497;633;1.25;10.4
0.397;0.507;-552;505;2.44;2.05
0.195;0.36;-704;640;8.1;3.92
0.308;0.0585;-603;754;3.33;17.5
0.0574;0.036;-698;701;115;1300
0.675;0.00705;-293;842;0.359;34.4
0.651;0.0204;-322;739;0.45;15.8
0.206;0.231;-635;614;6.39;6.5
0.0607;0.309;-689;585;41.2;71.5
0.554;0.136;-592;678;24600;130
0.0605;0.257;-680;596;3620;268
0.135;0.063;-592;684;251;49.9
0.205;0.205;-649;629;3090;136
0.0661;0.0249;-582;685;15.4;55.6
0.0272;0.0897;-789;743;166;74.5
0.588;0.181;-590;638;1.78;10.3
0.503;0.214;-556;786;1.73;4.07
0.672;0.499;-640;676;3.85;8.14
0.259;0.0714;-734;807;11.9;66.6
0.491;0.296;-685;710;2.82;4.62
0.215;0.307;-752;695;7.56;6.67
0.0775;0.113;-877;867;28.5;27.3
0.643;0.146;-339;532;0.505;2.26
0.674;0.0889;-341;643;0.485;5.17
0.107;0.0468;-665;785;13.5;35.6
0.0361;0.0901;-270;506;14.3;6.88
0.389;0.0421;-499;662;1.83;16.7
0.0193;0.00332;-729;791;102;1550
0.00714;0.0754;-676;649;1180;11900
0.55;0.023;-411;664;0.895;684
0.42;0.946;-507;443;80400;2180
0.0637;0.154;-687;649;66.1;966
0.0763;0.518;-722;674;20.9;63.9
0.609;0.0828;-355;695;0.587;5.97
0.263;0.728;-686;553;8.18;66.3
0.0263;0.135;-787;741;8880;1640
0.231;0.594;-681;562;38.4;42.6
0.0981;0.0554;-694;752;49.1;50.7
0.0772;0.0505;-675;718;25.1;40.7
0.0166;0.134;-743;670;120;19.8
0.0131;0.121;-756;695;152;24.1
0.199;0.0957;-710;707;7.94;16.5
0.0682;0.0469;-850;843;69.3;49.1
0.145;0.042;-671;707;643;113
0.025;0.226;-743;635;278;1550
0.0925;0.0158;-651;717;16.7;86.7
0.0047;0.0469;-749;756;563;41.6
0.361;0.215;-644;620;5.34;5.45
0.911;0.578;-643;560;1.36;2.81
0.369;0.0802;-705;763;3.8;19.1
0.734;0.167;-496;619;1.45;4.73
0.201;0.157;-702;702;11.5;70.4
0.492;0.186;-591;630;11.6;6.32
0.448;0.345;-679;627;16.2;6.31
0.0177;0.096;-750;712;117;31.1
0.558;0.000451;-379;668;0.727;2000
0.134;0.624;-735;559;412;4770
0.408;0.301;-600;638;4.69;10.6
0.397;0.23;-712;698;46.2;8.79
0.694;1.03;-646;497;1.86;1.47
1.23;0.741;-463;515;1.38;0.977
0.397;0.512;-501;542;1.99;1.45
0.459;0.551;-582;611;2.25;2.57
0.825;0.0421;-394;676;0.84;16.3
0.709;0.453;-441;509;2.38;1.29
0.752;1.87;-665;584;1.66;0.668
0.0987;0.166;-669;655;15.4;14.6
0.346;0.267;-624;648;4.25;6.12
0.375;0.227;-633;620;3.57;20.1
0.34;0.722;-547;547;3.21;2.09
0.456;0.0803;-741;794;46.6;35.5
0.27;0.241;-754;782;24.9;12.3
0.625;0.333;-593;748;415;67.2
0.494;0.379;-610;694;23.7;120
0.503;0.0453;-671;814;148;100
0.282;0.0829;-700;731;7.56;18.3
0.209;0.0309;-609;781;6.96;33.8
0.111;0.0278;-704;800;32.8;58.9
0.572;0.0293;-612;753;1.85;36
0.51;0.387;-618;622;94.2;15.8
0.201;0.0611;-755;801;31.8;42.4
0.103;0.101;-766;796;125;43
0.0724;0.0849;-896;897;31.3;26.6
0.369;0.363;-718;775;44.9;6.4
1.09;0.274;-508;666;391;2040
0.963;0.148;-664;756;26.9;17.2
0.808;0.282;-587;660;83;4.57
0.155;0.0776;-655;747;8.78;16.6
0.51;0.568;-681;619;23.2;75.4
0.106;0.138;-753;754;18.9;12.6
0.103;0.0583;-654;713;1940;53.1
0.576;0.0602;-673;729;209;28.9
0.0182;0.0251;-783;730;217;142
0.873;0.0578;-528;676;1.06;17.4
1.53;1.35;-681;490;1.5;0.984
0.0877;0.403;-732;645;30.2;13.7
0.116;0.201;-684;667;18.2;8.1
0.18;0.13;-687;657;11.4;19.3
0.306;0.0464;-708;779;188;73.9
1.41;1.1;-684;652;1.32;4.92
0.0596;0.088;-673;647;48.3;60
0.36;0.197;-548;684;2.57;10.6
0.627;0.418;-641;669;2.2;5.28
0.502;0.0948;-708;888;2.82;14.9
0.353;0.203;-767;724;10.5;12.8
0.44;0.0688;-673;837;2.9;18.6
0.17;0.0524;-677;754;15.6;30.8
0.853;0.121;-667;787;7.7;20.3
0.0345;0.0917;-875;852;255;24.9
0.0879;0.466;-797;728;20.3;3.84
1.05;0.0709;-345;698;0.321;10.8
0.0776;0.206;-642;650;20;50.1
0.94;0.000107;-418;723;0.524;20900
2.14;0.776;-440;493;0.504;0.968
1.64;1.17;-479;441;0.532;0.823
1.32;0.247;-454;668;0.672;2.4
1.52;0.363;-413;636;0.628;1.37
0.0246;0.0768;-699;725;175;34.8
0.00427;0.00301;-649;652;3060;129000
0.96;0.112;-401;690;0.473;9.67
2.46;0.947;-398;523;0.441;0.82
0.804;0.0262;-427;703;0.64;23.8
0.838;0.00255;-430;713;0.623;227
0.926;0.1;-434;667;0.575;21.5
0.915;0.0841;-404;722;0.502;11.9
0.906;0.0946;-405;674;0.511;7.04
0.885;0.212;-415;729;0.557;2190
0.881;0.06;-419;784;0.574;12
0.981;0.134;-401;686;0.461;1650
0.977;0.0531;-405;719;0.473;10.7
0.362;0.133;-717;795;6.48;11
0.812;0.159;-446;762;0.725;3.74
0.835;0.217;-429;654;0.623;9.23
0.897;0.52;-562;670;1.5;80.5
0.865;0.187;-394;582;0.511;2.46
0.881;0.0587;-414;789;0.55;18.7
0.104;0.00319;-561;660;195;1020
0.877;0.0667;-401;700;0.518;562
1.05;0.0548;-357;688;0.343;6.64
0.865;0.123;-423;708;0.599;5.05
1.08;0.193;-284;549;0.215;2.39
0.0745;0.0387;-644;790;21.3;43.6
0.00686;0.223;-703;616;505;924
0.073;0.0201;-740;761;32.7;98
0.307;0.345;-741;673;5.57;4.74
0.0723;0.615;-778;731;47.9;50.2
0.00669;0.00734;-630;637;259;205
0.00787;0.00926;-719;717;2010;796
1.66;0.484;-378;494;0.617;0.965
0.179;0.175;-638;665;21.7;44.5
0.18;0.196;-651;668;83.2;171
0.846;0.0228;-425;774;0.61;137
0.865;0.0665;-409;775;0.544;8.69
0.843;0.0155;-429;786;0.628;77.6
0.22;0.0293;-652;753;103;73.3
0.0325;0.171;-594;638;308;81.8
0.584;0.111;-308;346;0.49;5.45
0.293;0.12;-559;711;3.13;17.9
0.297;0.397;-624;461;3.94;31.4
0.0284;0.0822;-786;754;182;25.9
0.0244;0.0849;-764;735;175;27.8
0.828;0.0374;-432;755;0.653;34
0.00557;0.241;-847;714;12300;10.3
0.00151;0.278;-869;687;7120;11.9
0.335;0.413;-605;563;72500;62.8
0.941;0.0398;-389;800;0.457;10.9
0.409;0.115;-654;728;4.2;36
0.945;0.0936;-385;759;0.442;4.75
1.02;0.433;-353;510;0.355;2.08
0.403;0.308;-588;691;4.68;11500
0.824;0.619;-511;583;90.2;146000
0.954;0.253;-397;599;0.495;3150
1.02;0.347;-411;641;0.514;12.7
0.912;0.161;-431;774;0.703;3.32
1.4;0.681;-510;562;0.565;1.11
0.229;0.0633;-681;776;158;253
0.4;0.113;-521;712;5.81;86.5
0.132;0.162;-698;709;10.5;11.2
0.538;0.0138;-428;589;55.9;12800000
0.859;0.0647;-440;759;0.637;14.3
0.885;0.05;-428;774;0.594;563
0.0062;0.0503;-766;694;558;140
0.0972;0.565;-710;592;310;73.6
0.0771;0.502;-717;643;413;155
0.0655;0.511;-684;543;268;254
0.081;0.464;-702;588;304;48.5
0.109;0.594;-725;593;276;84.9
0.0678;0.535;-697;587;272;79
0.86;0.00983;-416;746;0.566;68
0.854;0.0103;-424;795;0.602;76.6
0.629;0.0261;-521;822;1.36;39.6
0.87;0.0456;-420;821;0.571;28
1.01;0.104;-380;716;0.403;4.14
0.825;0.0207;-437;837;0.652;33.7
0.89;0.02;-405;801;0.52;24.4
0.935;0.0287;-385;858;0.446;97.5
0.953;0.0577;-390;750;0.45;9.9
0.0546;0.856;-677;520;31.5;2.03
0.651;0.0228;-323;656;0.451;14
1.02;0.0298;-523;791;92.9;55.6
0.183;0.215;-690;663;22.9;46.9
0.0961;0.103;-801;792;25.3;76.7
0.588;0.154;-714;797;418;14.3
0.162;0.0964;-735;781;9.42;15.8
0.848;0.00591;-427;784;0.605;91.5
0.0438;0.0312;-678;702;733;129
0.787;0.25;-613;740;2.21;7.7
0.736;0.327;-772;794;9.1;28.7
0.323;0.214;-717;782;4.98;15.2
0.451;0.225;-670;781;3.65;6.91
1;0.0404;-345;923;0.338;38.3
1.03;0.0531;-349;916;0.333;6.47
0.886;0.0185;-411;765;0.538;82
0.89;0.0159;-416;754;0.55;110
0.26;0.233;-697;745;31.7;533
0.583;0.0429;-599;781;2.61;26.5
0.934;0.242;-595;698;1.36;7.14
0.266;0.071;-657;798;11.6;34.3
0.0255;0.00987;-756;776;90.7;221
2.06;0.599;-440;748;0.308;6.05
1.4;0.437;-597;682;2.58;2.83
0.479;0.449;-578;595;8.38;45.4
1.41;0.492;-580;729;2.22;4.52
1.52;0.566;-583;633;2.03;2.35
0.0707;0.082;-681;685;828;27.5
1.05;0.116;-337;794;0.305;2.76
0.631;0.669;-687;640;2.35;2.34
0.666;0.167;-603;715;1.56;6.53
0.882;0.0506;-404;788;0.523;10.7
0.987;0.0244;-368;773;0.391;19.3
0.278;0.0382;-749;799;226;50.8
1.11;0.123;-311;763;0.245;2.22
0.917;0.0393;-406;741;0.508;154
0.896;0.0162;-409;791;0.527;39.6
0.98;0.0587;-414;766;0.496;9.21
0.982;0.0225;-398;815;0.46;20.3
0.934;0.0372;-406;805;0.498;19.6
0.773;0.319;-558;726;1.46;3.95
0.892;0.0105;-408;785;0.526;45.7
0.0596;0.0611;-700;714;39.6;30.9
0.894;0.00368;-400;845;0.505;199
0.872;0.00609;-424;864;0.584;478
0.891;0.00327;-428;899;0.581;170
0.847;0.0364;-425;768;0.607;193
0.76;0.661;-587;568;3.41;2.21
0.879;0.954;-638;613;80;90.6
0.751;0.412;-635;675;1.69;3.15
1.03;0.0344;-349;868;0.336;11
1.02;0.0966;-341;717;0.323;10.5
1.08;0.359;-345;518;0.312;1.61
0.85;0.105;-425;764;0.604;5.19
0.29;0.307;-587;643;58.9;386
0.0466;0.417;-814;666;41.7;5.88
1.09;0.152;-300;721;0.231;1.66
0.168;0.078;-702;701;8.75;19
0.223;0.391;-703;681;9.81;5.12
0.888;0.0309;-408;717;0.554;22.1
0.0973;0.17;-771;816;25.4;24.1
0.378;0.0678;-697;806;101;20.9
0.627;0.0466;-633;816;5520;26.6
0.0562;0.0529;-714;716;38.7;68
0.0149;0.0212;-801;871;330;113
0.00195;0.179;-863;722;1330;12.2
0.0147;0.0881;-773;799;349;24.6
0.296;0.286;-635;678;4.27;16.8
0.518;0.104;-541;719;1.65;7.95
0.375;0.573;-710;644;9.48;58
0.374;0.277;-688;663;10.1;6.87
